Dakar	Senegal
Tunis	Tunesien
Mogadischu	Somalia
Doha	Katar
Lissabon	Portugal
Astana	Kasachstan
Lusaka	Sambia
Lima	Peru
Sofia	Bulgarien
Kigali	Ruanda
London	England
Quito	Ecuador
Paramaribo	Suriname
Athen	Griechenland
Moskau	Russland
Vilnius	Litauen
Budapest	Ungarn
Nairobi	Kenia
Ottawa	Kanada
Paris	Frankreich
Taschkent	Usbekistan
Rom	Italien
Harare	Simbabwe
Canberra	Australien
Kiew	Ukraine
Brüssel	Belgien
Oslo	Norwegen
Bamako	Mali
Berlin	Deutschland
Tokio	Japan
Madrid	Spanien
Slowakei	slowakisch
China	chinesisch
Russland	russisch
Korea	koreanisch
Frankreich	französisch
Albanien	albanisch
Argentinien	argentinisch
Japan	japanisch
Mexiko	mexikanisch
Griechenland	griechisch
Norwegen	norwegisch
Brasilien	brasilianisch
Island	isländisch
Chile	chilenisch
Bulgarien	bulgarisch
Dänemark	dänisch
Ägypten	ägyptisch
Kroatien	kroatisch
Ukraine	ukrainisch
Indien	indisch
Polen	polnisch
Australien	australisch
Deutschland	deutsch
Malta	maltesisch
Irland	irisch
England	englisch
Schweden	schwedisch
Thailand	thailändisch
Israel	israelisch
Peru	peruanisch
Kolumbien	kolumbianisch
Österreich	österreichisch
Portugal	portugiesisch
Italien	italienisch
Traum	Träume
Maschine	Maschinen
Hand	Hände
Pferd	Pferde
Banane	Bananen
Mann	Männer
Kuh	Kühe
Dollar	Dollars
Flasche	Flaschen
Wolke	Wolken
Frau	Frauen
Ananas	Ananasse
Schwein	Schweine
Auto	Autos
Birne	Birnen
Löwe	Löwen
Katze	Katzen
Elefant	Elefanten
Auge	Augen
Farbe	Farben
Maus	Mäuse
Hund	Hunde
Mango	Mangos
Vogel	Vögel
Ratte	Ratten
Ziege	Ziegen
Zwiebel	Zwiebeln
Schlange	Schlangen
Kind	Kinder
Affe	Affen
Melone	Melonen
