Dakar	Senegal
Tunis	Tunisia
Mogadishu	Somalia
Doha	Qatar
Lisbon	Portugal
Astana	Kazakhstan
Lusaka	Zambia
Lima	Peru
Sofia	Bulgaria
Kigali	Rwanda
London	England
Quito	Ecuador
Paramaribo	Suriname
Athens	Greece
Moscow	Russia
Vilnius	Lithuania
Budapest	Hungary
Nairobi	Kenya
Ottawa	Canada
Paris	France
Tashkent	Uzbekistan
Rome	Italy
Harare	Zimbabwe
Canberra	Australia
Kiev	Ukraine
Brussels	Belgium
Oslo	Norway
Bamako	Mali
Berlin	Germany
Tokyo	Japan
Madrid	Spain
Slovakia	Slovakian
China	Chinese
Russia	Russian
Korea	Korean
France	French
Albania	Albanian
Argentina	Argentinean
Japan	Japanese
Mexico	Mexican
Greece	Greek
Norway	Norwegian
Brazil	Brazilian
Iceland	Icelandic
Chile	Chilean
Bulgaria	Bulgarian
Denmark	Danish
Egypt	Egyptian
Croatia	Croatian
Ukraine	Ukrainian
India	Indian
Poland	Polish
Australia	Australian
Germany	German
Malta	Maltese
Ireland	Irish
England	English
Sweden	Swedish
Thailand	Thai
Israel	Israeli
Peru	Peruvian
Colombia	Colombian
Austria	Austrian
Portugal	Portuguese
Italy	Italian
dream	dreams
machine	machines
hand	hands
horse	horses
banana	bananas
man	men
cow	cows
dollar	dollars
bottle	bottles
cloud	clouds
woman	women
pineapple	pineapples
pig	pigs
car	cars
pear	pears
lion	lions
cat	cats
elephant	elephants
eye	eyes
color	colors
mouse	mice
dog	dogs
mango	mangoes
bird	birds
rat	rats
goat	goats
onion	onions
snake	snakes
child	children
monkey	monkeys
melon	melons
