Dakar	Senegal
Túnez	Tunisia
Mogadiscio	Somalia
Doha	Katar
Lisboa	Portugal
Astana	Kazajstán
Lusaka	Zambia
Lima	Perú
Sofía	Bulgaria
Kigali	Ruanda
Londres	Inglaterra
Quito	Ecuador
Paramaribo	Surinam
Atenas	Grecia
Moscú	Rusia
Vilnius	Lituania
Budapest	Hungría
Nairobi	Kenia
Ottawa	Canadá
París	Francia
Tashkent	Uzbekistán
Roma	Italia
Harare	Zimbabue
Canberra	Australia
Kiev	Ucrania
Bruselas	Bélgica
Oslo	Noruega
Bamako	Malí
Berlín	Alemania
Tokio	Japón
Madrid	España
Eslovaquia	Eslovaco
China	Chino
Rusia	Ruso
Corea	Coreano
Francia	Francés
Albania	Albanés
Argentina	Argentino
Japón	Japonés
México	Mexicano
Grecia	Griego
Noruega	Noruego
Brasil	Brasileño
Islandia	Islandés
Chile	Chileno
Bulgaria	Búlgaro
Dinamarca	Danés
Egipto	Egipcio
Croacia	Croata
Ucrania	Ucranio
India	Indio
Polonia	polaco
Australia	Australiano
Alemania	Alemán
Malta	Maltés
Irlanda	Irlandés
Inglaterra	Inglés
Suecia	Sueco
Tailandia	Tailandés
Israel	Israelí
Perú	Peruano
Colombia	Colombiano
Austria	Austriaco
Portugal	Portugués
Italia	Italiano
sueña	sueños
máquina	máquinas
mano	manos
caballo	caballos
plátano	plátanos
hombre	hombres
vaca	vacas
dólar	dólares
botella	botellas
nube	nubes
mujer	mujer
piña	piñas
cerdo	cerdos
auto	autos
pera	peras
león	leones
gato	gatos
elefante	elefantes
ojo	ojos
color	colores
ratón	ratones
perro	perros
mango	mangos
pájaro	pájaros
rata	ratas
cabra	cabras
cebolla	cebollas
serpiente	serpientes
niño	niños
mono	monos
melón	melones
