Dakar	Sénégal
Tunis	Tunisie
Mogadiscio	Somalie
Doha	Qatar
Lisbonne	Portugal
Astana	Kazakhstan
Lusaka	Zambie
Lima	Pérou
Sofia	Bulgarie
Kigali	Rwanda
Londres	Royaume-Uni
Quito	Équateur
Paramaribo	Suriname
Athènes	Grèce
Moscou	Russie
Vilnius	Lituanie
Budapest	Hongrie
Nairobi	Kenya
Ottawa	Canada
Paris	France
Tachkent	Ouzbékistan
Rome	Italie
Harare	Zimbabwe
Canberra	Australie
Kiev	Ukraine
Bruxelles	Belgique
Oslo	Norvège
Bamako	Mali
Berlin	Allemagne
Tokyo	Japon
Madrid	Espagne
Slovaquie	slovaque
Chine	chinois
Russie	russe
Corée	coréen
France	français
Albanie	albanais
Argentine	argentin
Japon	japonais
Mexique	mexicain
Grèce	grec
Norvège	norvégien
Brésil	brésilien
Islande	islandais
Chili	chilien
Bulgarie	bulgare
Danemark	danois
Egypte	égyptien
Croatie	croate
Ukraine	ukrainien
Inde	indien
Pologne	polonais
Australie	australien
Allemagne	allemand
Malte	maltais
Irlande	irlandais
Angleterre	anglais
Suède	suédois
Thaïlande	thaïlandais
Israël	israélien
Pérou	péruvien
Colombie	colombien
Autriche	autrichien
Portugal	portugais
Italie	italien
rêve	rêves
machine	machines
main	mains
cheval	chevaux
banane	bananes
homme	hommes
vache	vaches
dollar	dollars
bouteille	bouteilles
nuage	nuages
femme	femmes
ananas	ananas
porc	porcs
voiture	voitures
poire	poires
lion	lions
chat	chats
éléphant	éléphants
oeil	yeux
couleur	couleurs
souris	souris
chien	chiens
mangue	mangues
oiseau	oiseaux
rat	rats
chèvre	chèvres
oignon	oignons
serpent	serpents
enfant	enfants
singe	singes
melon	melons
