Dakar	Senegal
Tunis	Tunezja
Mogadiszu	Somalia
Doha	Katar
Lizbona	Portugalia
Astana	Kazachstan
Lusaka	Zambia
Lima	Peru
Sofia	Bułgaria
Kigali	Rwanda
Londyn	Anglia
Quito	Ekwador
Paramaribo	Surinam
Ateny	Grecja
Moskwa	Rosja
Wilno	Litwa
Budapeszt	Węgry
Nairobi	Kenia
Ottawa	Kanada
Paryż	Francja
Taszkent	Uzbekistan
Rzym	Włochy
Harare	Zimbabwe
Canberra	Australia
Kijów	Ukraina
Bruksela	Belgia
Oslo	Norwegia
Bamako	Mali
Berlin	Niemcy
Tokio	Japonia
Madryt	Hiszpania
Słowacja	słowacki
Chiny	chiński
Rosja	rosyjski
Korea	koreański
Francja	francuski
Albania	albański
Argentyna	argentyński
Japonia	japoński
Meksyk	meksykański
Grecja	grecki
Norwegia	norweski
Brazylia	brazylijski
Islandia	islandzki
Chile	chilijski
Bułgaria	bułgarski
Dania	duński
Egipt	egipski
Chorwacja	chorwacki
Ukraina	ukraiński
Indie	indyjski
Polska	polski
Australia	australijski
Niemcy	niemiecki
Malta	maltański
Irlandia	irlandzki
Anglia	angielski
Szwecja	szwedzki
Tajlandia	tajski
Izrael	izraelski
Peru	peruwiański
Kolumbia	kolumbijski
Austria	austriacki
Portugalia	portugalski
Włochy	włoski
marzenie	marzenia
maszyna	maszyny
ręka	ręce
koń	konie
banan	banany
mężczyzna	mężczyźni
krowa	krowy
dolar	dolary
butelka	butelki
chmura	chmury
kobieta	kobiety
ananas	ananasy
świnia	świnie
samochód	samochody
gruszka	gruszki
lew	lwy
kot	koty
słoń	słonie
oko	oczy
kolor	kolory
mysz	myszy
pies	psy
mango	mango
ptak	ptaki
szczur	szczury
koza	kozy
cebula	cebule
wąż	węże
dziecko	dzieci
małpa	małpy
melon	melony
